,participation,u6,weekly_hours,part_time_econ,fragility_score
2016-07-01,62.86666666666667,9.633333333333333,33.56666666666667,867.6666666666666,0.3440277777777775
2016-10-01,62.73333333333333,9.4,33.56666666666667,801.0,0.3397222222222222
2017-01-01,62.86666666666667,9.0,33.56666666666667,808.0,0.32027777777777755
2017-04-01,62.86666666666667,8.533333333333333,33.666666666666664,874.3333333333334,0.29527777777777797
2017-07-01,62.96666666666667,8.466666666666667,33.63333333333333,738.0,0.29194444444444445
2017-10-01,62.70000000000001,8.066666666666666,33.733333333333334,739.3333333333334,0.2783333333333329
2018-01-01,62.86666666666667,8.033333333333333,33.699999999999996,776.6666666666666,0.2740277777777781
2018-04-01,62.93333333333334,7.833333333333333,33.766666666666666,771.3333333333334,0.25930555555555546
2018-07-01,62.800000000000004,7.466666666666666,33.733333333333334,800.3333333333334,0.2524999999999998
2018-10-01,62.93333333333334,7.566666666666666,33.7,714.0,0.2543055555555552
2019-01-01,63.06666666666666,7.533333333333334,33.699999999999996,723.3333333333334,0.24861111111111156
2019-04-01,62.9,7.233333333333333,33.63333333333333,738.0,0.24791666666666676
2019-07-01,63.13333333333333,7.0,33.56666666666667,806.3333333333334,0.23638888888888865
2019-10-01,63.29999999999999,6.833333333333333,33.56666666666667,695.3333333333334,0.2308333333333334
2020-01-01,63.06666666666666,7.6000000000000005,33.56666666666667,621.6666666666666,0.261111111111111
2020-04-01,60.800000000000004,20.666666666666668,33.86666666666667,742.0,0.5916666666666665
2020-07-01,61.53333333333333,14.5,34.06666666666667,772.6666666666666,0.533472222222222
2020-10-01,61.56666666666666,11.9,34.233333333333334,831.3333333333334,0.42236111111111113
2021-01-01,61.43333333333334,11.033333333333333,34.266666666666666,692.3333333333334,0.3918055555555554
2021-04-01,61.63333333333333,10.066666666666668,34.36666666666667,720.0,0.34138888888888896
2021-07-01,61.73333333333333,8.799999999999999,34.233333333333334,742.3333333333334,0.3005555555555557
2021-10-01,61.9,7.733333333333333,34.2,752.6666666666666,0.25749999999999984
